user_id,age,platform,session_count,total_screens_viewed,used_search_feature,wrote_review,added_to_wishlist,purchase_24h,hour,dayofweek,is_weekend,productlist,productdetail,categorybrowse,search,shoppingcart,checkout,paymentmethods,deliveryoptions,wishlist,reviews,promotions,account,addressbook,ordertracking,shopping_count,cart_count,engagement_count,account_count,other_screens,engagement_score,screen_diversity,purchase_intent,region_asia pacific,region_europe,region_latin america,region_middle east,region_north america,channel_email,channel_organic search,channel_paid search,channel_referral,channel_social media,age_group_adult,age_group_senior,age_group_young,user_type_browser,user_type_buyer,user_type_power user,app_major_version,version_score
100000,66,0,5,10,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,3,0,1,1,1,3.8499999999999996,3,1.0999999999999999,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,2,2.08
100001,68,1,8,39,0,0,0,0,0,5,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,3,3,1,1,2,10.200000000000001,4,2.3000000000000003,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,2,2.05
100002,25,1,9,19,1,0,1,0,0,4,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,4,2,1,1,6.85,4,2.4000000000000004,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,2,2.06
100003,39,0,8,47,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,2,3,11.8,4,1.1,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,2,2.21
100004,28,1,9,29,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,2,2,1,2,3,8.8,4,1.7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,2,2.2800000000000002
100005,56,1,8,15,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,0,1,5,5.4,3,1.1,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,1,1.3800000000000001
100006,40,1,5,9,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,4,2,0,0,1,3.3,2,2.0,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,2,2.18
100007,61,1,9,5,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,3.6999999999999997,3,0.7,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,2,2.36
100008,28,0,5,48,1,0,0,1,0,6,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,3,11.3,2,1.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,2,2.0
100009,51,0,9,20,0,0,1,1,0,6,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,3,2,0,3,6.85,3,2.0000000000000004,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,2,2.42
100010,39,0,5,12,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,4.1000000000000005,2,1.1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,1.23
100011,31,1,9,15,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,5.9,3,0.8999999999999999,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,2,2.3499999999999996
100012,59,1,3,37,1,0,1,0,0,4,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,4,2,0,1,2,8.65,3,2.1,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,2,2.4699999999999998
100013,45,0,1,24,1,0,1,0,0,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,1,4,5.450000000000001,3,0.9,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,2,2.2800000000000002
100014,50,1,7,39,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,3,3,2,1,5,10.100000000000001,4,2.5,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,2,2.29
100015,67,0,5,7,1,0,1,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,3.25,4,0.9999999999999999,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,2,2.27
100016,63,1,7,30,1,0,1,1,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,3,8.45,3,1.3,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,1,1.1300000000000001
100017,42,1,8,5,1,1,1,0,0,2,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,2,2,3,1,3,3.9,4,2.1,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,1,1.48
100018,19,0,2,27,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,6.3500000000000005,2,0.6,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,1,1.1500000000000001
100019,37,1,1,6,1,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,2,1,0,2,4,1.85,3,1.1,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,1,1.46
100020,23,0,3,41,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,3,3,2,1,2,9.3,4,2.5,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,1,1.21
100021,20,0,8,15,0,1,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,5.55,2,0.4,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,2,2.19
100022,61,1,9,32,1,0,1,1,0,6,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,2,1,2,1,3,9.45,4,1.5,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,2,2.2800000000000002
100023,65,0,8,34,1,0,1,1,0,3,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,3,2,1,1,4,9.55,4,2.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,1,1.35
100024,25,0,8,6,1,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3.95,2,0.7,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,2,2.1
100025,40,1,6,23,1,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,2,0,1,4,6.75,3,1.2000000000000002,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,2,2.04
100026,20,1,1,25,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,2,1,5.65,3,0.7999999999999999,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,1,1.44
100027,67,0,7,6,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,3.6500000000000004,3,0.7000000000000001,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,1,1.12
100028,48,0,4,15,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,2,2,1,1,4.35,4,1.6,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,2,2.08
100029,38,1,7,37,1,0,0,0,0,3,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,4,1,1,1,3,9.700000000000001,4,1.8,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,1,1.28
100030,41,1,2,16,1,0,0,1,0,6,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,0,4,4.0,3,1.1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,2,2.25
100031,34,1,9,42,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,2,3,1,1,3,11.3,4,2.0000000000000004,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,2,2.14
100032,26,1,3,15,1,0,0,0,0,4,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,2,1,1,1,6,4.1,4,1.2,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,2,2.3099999999999996
100033,46,0,7,7,1,0,0,1,0,4,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,2,1,3,0,3.7,4,1.3,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,2,2.21
100034,31,1,8,6,0,1,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,3,1,0,1,1,3.75,3,1.2999999999999998,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,2,2.4499999999999997
100035,52,1,5,36,1,0,1,1,0,5,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,1,9.05,2,0.9,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,1,1.27
100036,25,1,3,43,1,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,2,1,0,3,9.85,3,1.4000000000000001,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,2,2.3499999999999996
100037,40,0,6,24,1,0,0,1,0,4,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,2,0,2,6.800000000000001,3,1.1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,1,1.1300000000000001
100038,21,1,6,11,1,0,0,1,0,5,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,3,3,0,2,1,4.2,3,2.1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,2,2.3299999999999996
100039,53,1,2,26,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,2,1,2,0,5.95,4,1.4000000000000001,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,2,2.09
100040,22,0,8,17,1,1,1,0,0,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,1,1,2,6.300000000000001,4,1.4000000000000001,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,2,2.14
100041,47,0,1,43,0,0,0,0,0,5,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,2,2,1,2,2,8.9,4,1.5999999999999999,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,1,1.22
100042,39,0,1,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,8.100000000000001,2,0.7,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,2,2.07
100043,47,0,9,16,1,1,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6.25,2,0.7,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,1,1.23
100044,53,0,2,32,1,0,1,0,0,5,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,3,7.3500000000000005,2,1.2000000000000002,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,2,2.4099999999999997
100045,59,1,2,36,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,3,1,2,0,3,8.0,3,1.6999999999999997,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2,2.3099999999999996
100046,62,1,7,46,1,0,0,1,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2,2,0,1,1,11.500000000000002,3,1.4,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,1,1.07
100047,43,1,2,25,0,0,1,1,0,4,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,2,2,1,4,5.75,4,1.6,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,2,2.4299999999999997
100048,27,1,1,39,1,0,1,1,0,6,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,1,0,2,8.450000000000001,3,1.4000000000000001,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1,1.05
100049,32,1,1,7,1,0,1,1,0,6,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,2.0500000000000003,2,0.9999999999999999,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,1,1.49
100050,46,1,4,12,1,0,0,0,0,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,4,2,2,3,3,3.8000000000000003,4,2.4,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,2,2.25
100051,69,0,3,20,1,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,2,2,5.25,4,0.9999999999999999,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,2,2.24
100052,66,0,4,30,1,0,1,1,0,5,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,2,2,1,4,7.55,4,1.6,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,1,1.35
100053,24,1,3,7,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,3,2.5,3,0.7,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,2,2.07
100054,62,0,8,7,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,3,0,2,0,3,4.0,2,1.2999999999999998,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,1,1.21
100055,44,0,4,11,1,0,1,0,0,3,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,2,2,0,1,6,3.75,3,1.5,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,1,1.31
100056,26,1,3,40,1,1,1,1,0,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,0,9.4,3,1.2000000000000002,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,2,2.0
100057,39,0,2,9,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2.75,2,0.5,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,2,2.2600000000000002
100058,19,1,4,8,1,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,2,3.0,2,0.8,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,1,1.26
100059,30,0,8,15,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5.6,2,0.7,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,1,1.43
100060,39,0,2,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2.6,1,0.8999999999999999,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,2,2.36
100061,38,1,4,32,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,3,7.800000000000001,3,0.5,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,2,2.3899999999999997
100062,40,1,4,44,0,1,0,0,0,6,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2,1,1,1,3,10.15,4,1.2,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,2,2.38
100063,34,0,4,38,1,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,9.15,2,0.4,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,2,2.2
100064,47,0,9,47,1,1,1,1,0,6,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,2,2,2,0,4,12.6,3,1.9,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,2,2.4499999999999997
100065,67,1,2,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,2,2.1500000000000004,2,1.0,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,2,2.3299999999999996
100066,58,0,5,37,0,1,0,0,0,5,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,2,1,1,2,9.05,4,1.3,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2,2.12
100067,52,1,3,8,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,3,2,0,2,2,2.5,3,1.7,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,2,2.03
100068,53,0,3,16,1,1,0,0,0,2,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,2,2,1,0,2,4.45,3,1.5999999999999999,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,2,2.08
100069,34,1,4,20,1,1,0,1,0,5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,2,5,5.55,2,0.8,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,2,2.24
100070,64,0,2,16,1,1,0,0,0,4,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,2,0,1,6,4.15,3,1.4,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,2,2.4099999999999997
100071,34,0,4,13,1,0,1,1,0,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,1,0,2,4,4.15,3,1.1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,1.48
100072,67,0,1,32,1,0,1,1,0,5,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,3,1,2,1,2,7.050000000000001,4,1.7999999999999998,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,2,2.01
100073,43,1,8,20,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,0,6.6,2,0.8,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,2,2.4099999999999997
100074,18,1,5,12,1,0,1,1,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,3,4.25,3,1.1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1.1300000000000001
