user_id,first_visit_date,age,platform,screen_list,session_count,total_screens_viewed,used_search_feature,wrote_review,added_to_wishlist,made_purchase,purchase_date,user_segment,region,acquisition_channel,app_version
10001,2023-07-24,67,Android,"payment,product,settings,home,account",7,20,0,1,0,1,2023-08-29,Returning,North America,Organic Search,3.1.0
10002,2024-06-21,40,Android,"search,product,cart,confirmation,settings",2,5,0,1,0,0,,Loyal,Europe,Social Media,3.2.0
10003,2024-01-08,61,Android,"review,settings,categories,confirmation,payment",2,8,0,0,0,0,,Loyal,North America,Referral,3.1.0
10004,2023-07-28,55,Android,"product,search,wishlist,settings,home,review,account",7,11,1,1,1,1,2023-08-27,New,North America,Email,3.1.2
10005,2023-06-23,40,Android,"cart,search,home,review,settings,account,wishlist,categories",4,5,0,0,0,1,2023-08-01,Lapsed,Europe,Organic Search,3.1.2
10006,2025-03-13,62,Android,"home,cart,confirmation,wishlist,settings,account,categories",2,4,1,1,1,1,2025-06-10,New,Europe,Social Media,3.1.2
10007,2023-05-03,69,iOS,"settings,confirmation,review",1,1,0,0,0,1,2023-07-02,Returning,North America,Paid Search,3.1.2
10008,2024-12-17,67,Android,"review,settings,home,categories,search,wishlist",3,5,1,1,0,1,2025-02-11,New,South America,Organic Search,3.2.0
10009,2023-08-12,25,Android,"search,review,home,cart,wishlist",3,8,1,1,1,1,2023-10-27,New,South America,Organic Search,3.1.0
10010,2024-07-22,18,iOS,"wishlist,home,settings,confirmation",4,2,0,0,1,1,2024-10-12,Loyal,Asia,Social Media,3.1.2
10011,2023-11-13,25,Web,"wishlist,cart,home,search,payment,product,categories",4,12,0,0,1,1,2024-01-10,New,Asia,Social Media,3.2.0
10012,2024-03-08,46,Web,"search,payment,wishlist,product,confirmation,home,review",6,21,0,0,1,1,2024-04-03,Returning,Europe,Organic Search,3.1.0
10013,2024-07-14,22,Android,"product,wishlist,home,payment",2,5,0,1,1,1,2024-10-01,New,South America,Social Media,3.1.2
10014,2023-07-09,64,iOS,"settings,cart",8,17,0,1,1,1,2023-07-14,Loyal,South America,Social Media,3.2.0
10015,2024-04-19,51,iOS,"confirmation,payment,home,cart,wishlist,categories",3,10,1,0,1,1,2024-06-14,New,North America,Email,3.1.0
10016,2023-07-21,82,Android,"settings,confirmation,categories,review",8,26,0,1,1,1,2023-08-23,New,Europe,Email,3.1.0
10017,2025-02-04,72,Web,"review,categories,settings,search,confirmation,wishlist,home",3,12,0,0,0,1,2025-02-13,New,North America,Organic Search,3.1.0
10018,2023-08-21,60,iOS,"account,home,product,payment",2,5,0,0,0,0,,Loyal,North America,Email,3.2.0
10019,2025-02-02,47,iOS,"product,search,settings,account,payment,confirmation",3,7,0,0,1,1,2025-03-06,New,North America,Social Media,3.1.0
10020,2024-02-15,34,Web,"home,settings,product,account,cart",3,6,1,0,0,0,,Returning,South America,Direct,3.1.0
10021,2024-03-21,43,iOS,"product,payment",6,17,0,0,0,1,2024-06-06,Loyal,North America,Social Media,3.2.0
10022,2024-08-16,25,Android,"confirmation,categories,wishlist,product,home",4,12,1,1,1,1,2024-09-13,New,Europe,Paid Search,3.1.0
10023,2024-05-30,64,Web,"cart,home,confirmation,categories,payment,search",2,3,1,1,1,1,2024-06-22,Lapsed,Asia,Email,3.2.0
10024,2024-05-02,63,iOS,"cart,confirmation",4,9,1,1,1,1,2024-07-29,New,Asia,Social Media,3.1.2
10025,2023-10-21,85,Android,"cart,account,home,payment,product",2,8,0,1,1,1,2023-12-29,Loyal,North America,Social Media,3.2.0
10026,2024-01-14,50,iOS,"account,settings,search,home,confirmation,review,wishlist,payment",2,5,1,1,1,1,2024-03-16,Loyal,Europe,Organic Search,3.1.0
10027,2023-09-20,18,iOS,"wishlist,settings",4,10,1,1,1,1,2023-11-07,New,North America,Email,3.1.0
10028,2024-07-15,36,Android,"settings,payment,categories,home,confirmation,wishlist",7,14,1,0,1,1,2024-09-19,Returning,South America,Paid Search,3.1.0
10029,2024-02-20,48,iOS,"cart,review,categories,settings,payment,confirmation,search",2,10,1,0,1,1,2024-04-22,Returning,North America,Social Media,3.0.1
10030,2023-05-04,31,Web,"categories,account",3,9,0,0,0,1,2023-07-12,Returning,North America,Paid Search,3.0.1
10031,2023-12-21,70,Android,"cart,settings,confirmation,search,product,review",2,3,1,0,0,1,2024-02-15,New,North America,Organic Search,3.2.0
10032,2024-10-24,65,iOS,"product,review,home,search",5,12,0,1,0,0,,Loyal,North America,Email,3.0.1
10033,2024-07-30,79,iOS,"cart,account,categories,search,settings",6,18,0,1,1,1,2024-10-12,New,Europe,Email,3.1.2
10034,2023-06-10,83,iOS,"categories,cart,account,payment,settings,home,product,wishlist",1,1,1,1,1,1,2023-07-16,Loyal,Asia,Social Media,3.1.2
10035,2024-09-04,81,iOS,"confirmation,review,home,product,payment",8,32,1,0,0,1,2024-10-10,New,North America,Social Media,3.0.1
10036,2025-02-22,80,iOS,"settings,payment,home",5,10,0,1,1,1,2025-04-19,Loyal,Asia,Paid Search,3.1.0
10037,2024-07-31,50,iOS,categories,2,5,1,1,1,1,2024-08-07,New,Europe,Email,3.1.2
10038,2025-03-12,58,Android,"cart,home,account,payment,categories",2,7,1,1,1,1,2025-04-13,Lapsed,North America,Referral,3.1.2
10039,2023-10-19,65,Android,"confirmation,account,cart,product,settings",1,3,0,0,1,1,2023-10-20,Returning,Europe,Referral,3.2.0
10040,2025-02-27,30,Android,"wishlist,settings,review,payment,product,search",5,14,0,0,1,1,2025-04-26,Returning,North America,Email,3.1.2
10041,2024-10-26,48,Android,"review,settings,product,categories,account,payment",1,7,0,1,1,1,2024-11-15,New,North America,Organic Search,3.2.0
10042,2024-10-30,85,iOS,"cart,confirmation",2,9,0,0,0,1,2024-12-03,Returning,Asia,Email,3.1.0
10043,2023-12-12,21,iOS,wishlist,2,3,0,0,0,0,,New,South America,Social Media,3.1.2
10044,2024-08-29,36,Android,"account,review,cart,confirmation,settings,categories",7,26,0,0,0,1,2024-10-19,New,North America,Social Media,3.2.0
10045,2023-08-21,30,Android,"home,product,categories,cart,review",4,14,0,0,0,1,2023-09-26,New,Europe,Direct,3.1.0
10046,2024-08-09,40,iOS,"wishlist,product,home,settings,payment",2,9,0,0,0,0,,Lapsed,North America,Paid Search,3.1.2
10047,2025-01-18,18,Android,"product,payment,review,cart,search,home",7,16,0,0,0,1,2025-02-13,Returning,North America,Email,3.1.2
10048,2023-05-03,71,Android,"settings,wishlist,categories,home",6,17,0,1,1,0,,Returning,Oceania,Organic Search,3.2.0
10049,2023-09-26,32,Android,"product,home,wishlist",4,16,0,0,0,0,,Loyal,South America,Social Media,3.0.1
10050,2024-01-11,82,iOS,"cart,home,search,payment,settings,product",3,8,1,1,1,1,2024-04-07,Returning,North America,Organic Search,3.1.2
10051,2024-05-04,32,Android,"home,categories,search,product,settings,confirmation,account,review,payment",5,18,0,0,0,1,2024-06-06,Returning,South America,Email,3.1.2
10052,2024-12-03,38,Android,"settings,home,search,cart,account,categories",5,11,1,1,0,1,2024-12-04,Returning,North America,Paid Search,3.1.2
10053,2024-02-22,36,Android,"search,settings,cart",4,12,0,0,1,0,,New,South America,Direct,3.1.2
10054,2023-04-26,77,Android,"search,payment,confirmation,product,home",5,8,1,1,1,1,2023-07-02,New,Africa,Social Media,3.1.2
10055,2023-12-10,50,Android,"categories,product,cart,wishlist,payment,confirmation",6,17,1,1,0,1,2024-01-29,Lapsed,North America,Paid Search,3.1.2
10056,2024-03-23,66,Android,"home,wishlist,categories,product,cart",3,4,1,0,0,1,2024-04-27,Lapsed,North America,Direct,3.1.0
10057,2024-10-28,52,iOS,"settings,review,account,product,payment,wishlist",6,14,0,0,0,0,,Returning,Africa,Social Media,3.1.2
10058,2024-03-17,61,Android,"cart,confirmation,wishlist",6,21,0,1,1,1,2024-04-21,New,North America,Social Media,3.1.2
10059,2023-07-13,28,Android,"cart,home,account,payment,product",2,8,0,1,1,1,2023-09-10,Returning,Europe,Social Media,3.1.0
10060,2024-04-13,83,Android,"cart,settings,categories,wishlist",2,3,1,1,1,1,2024-06-29,New,North America,Organic Search,3.2.0
10061,2024-07-10,63,iOS,"categories,review,cart,confirmation,settings",2,5,1,1,0,1,2024-07-23,New,Asia,Social Media,3.1.0
10062,2024-06-13,26,iOS,"settings,review,wishlist,account",4,14,0,0,0,1,2024-07-05,New,North America,Referral,3.1.2
10063,2024-09-02,20,Web,"settings,confirmation,cart,product,wishlist",3,8,0,0,1,1,2024-10-28,New,Europe,Email,3.1.2
10064,2023-05-17,43,Android,"account,review",2,5,1,1,0,1,2023-05-22,New,South America,Paid Search,3.1.0
10065,2023-11-04,65,Web,"categories,cart,product",8,29,1,1,1,1,2024-01-24,Returning,Africa,Email,3.1.0
10066,2023-07-02,83,Android,"cart,payment,confirmation,settings,home",1,2,0,1,0,1,2023-08-14,New,Europe,Organic Search,3.1.2
10067,2024-10-25,45,Android,"product,wishlist,search,settings,home,cart,payment,account,confirmation",3,5,1,0,1,1,2025-01-07,New,North America,Social Media,3.1.0
10068,2024-05-04,43,Android,"product,settings,confirmation,categories",2,1,1,1,1,1,2024-06-28,New,South America,Organic Search,3.1.0
10069,2023-04-14,42,Web,"confirmation,settings,cart",2,7,1,1,1,1,2023-04-29,Returning,North America,Referral,3.1.2
10070,2024-05-06,29,Android,"cart,product,account,confirmation,wishlist,review,settings,search,payment",4,14,1,1,1,1,2024-06-17,Loyal,Asia,Paid Search,3.2.0
10071,2024-10-29,22,Android,"categories,cart,account,home,confirmation",4,8,1,0,0,0,,Returning,Asia,Organic Search,3.2.0
10072,2023-07-27,65,iOS,"categories,payment,confirmation,account,review",3,2,0,1,1,1,2023-08-05,Lapsed,Europe,Referral,3.1.2
10073,2024-08-01,54,Android,"settings,review,confirmation,search,wishlist",3,4,1,1,1,1,2024-10-11,Lapsed,Africa,Social Media,3.1.0
10074,2025-03-15,61,Android,"categories,confirmation,payment,product,wishlist,search,cart",2,1,1,0,0,1,2025-05-11,Returning,North America,Social Media,3.1.0
10075,2024-05-18,32,iOS,"search,home,payment,categories,confirmation,cart,wishlist,settings",5,21,0,1,1,0,,Loyal,North America,Paid Search,3.2.0
10076,2025-04-11,60,iOS,"home,payment,cart,account,product",3,11,1,0,1,1,2025-04-21,New,Oceania,Social Media,3.2.0
10077,2024-10-19,65,iOS,"home,cart,account,categories,review,confirmation",3,9,0,0,0,1,2024-12-22,New,Europe,Email,3.1.2
10078,2023-09-21,63,iOS,"search,home",2,2,1,0,0,1,2023-11-01,Loyal,Europe,Referral,3.2.0
