user_id,first_visit_date,age,platform,screen_list,session_count,total_screens_viewed,used_search_feature,wrote_review,added_to_wishlist,made_purchase,purchase_date,user_segment,region,acquisition_channel,app_version
100000,9/19/23,66,Android,"CategoryBrowse,Search,WishList,ReturnPolicy,ProductDetail,WishList,ProductDetail,Account",5,10,1,1,0,1,9/19/23 1:00,Senior Buyer,Europe,Referral,2.0.8
100001,4/29/23,68,iOS,"OrderTracking,Promotions,Notifications,ProductDetail,ProductDetail,Checkout,Search,ProductList,StoreLocator,PaymentMethods,DeliveryOptions",8,39,0,0,0,0,,Senior Browser,Latin America,Organic Search,2.0.5
100002,10/20/23,25,iOS,"ShoppingCart,WishList,ProductList,PaymentMethods,Reviews,Checkout,ShoppingCart,DeliveryOptions,Reviews,AddressBook,Notifications",9,19,1,0,1,0,,Adult Browser,Europe,Social Media,2.0.6
100003,7/4/23,39,Android,"Checkout,ColorPicker,OrderTracking,WishList,OrderTracking,ProductList,OrderTracking,Account,SizeGuide,Promotions,ProductList,OrderTracking,ColorPicker",8,47,0,0,0,0,,Adult Browser,Asia Pacific,Social Media,2.2.1
100004,1/2/23,28,iOS,"ColorPicker,ShoppingCart,Reviews,Account,CategoryBrowse,OrderTracking,Checkout,ProductList,CustomerService,Notifications",9,29,0,1,1,0,,Adult Browser,Latin America,Paid Search,2.2.8
100005,6/26/23,56,iOS,"Account,CustomerService,StoreLocator,CustomerService,CustomerService,Account,PaymentMethods,Checkout,ReturnPolicy,ProductList",8,15,0,0,0,0,,Senior Browser,North America,Paid Search,1.3.8
100006,5/23/23,40,iOS,"Search,DeliveryOptions,ShoppingCart,ProductDetail,CategoryBrowse,Search,ProductList,DeliveryOptions,StoreLocator,ProductDetail",5,9,0,0,0,0,,Adult Browser,North America,Social Media,2.1.8
100007,3/28/23,61,iOS,"Search,PaymentMethods,Search,OrderTracking",9,5,0,0,0,1,3/28/23 17:00,Senior Power User,Asia Pacific,Email,2.3.6
100008,7/23/23,28,Android,"PaymentMethods,ReturnPolicy,PaymentMethods,Reviews,ReturnPolicy,DeliveryOptions,ColorPicker",5,48,1,0,0,1,7/23/23 12:00,Adult Buyer,Latin America,Paid Search,2.0.0
100009,6/4/23,51,Android,"CustomerService,Checkout,Search,WishList,CustomerService,ShoppingCart,CustomerService,DeliveryOptions,Promotions,Search",9,20,0,0,1,1,6/4/23 11:00,Senior Power User,Asia Pacific,Referral,2.4.2
100010,3/13/23,39,Android,"Checkout,DeliveryOptions,ProductDetail,DeliveryOptions",5,12,1,0,0,1,3/13/23 6:00,Adult Buyer,Europe,Referral,1.2.3
100011,9/20/23,31,iOS,"Checkout,ColorPicker,Reviews,CategoryBrowse",9,15,1,0,0,0,,Adult Browser,Europe,Social Media,2.3.5
100012,6/30/23,59,iOS,"ProductList,CategoryBrowse,Search,CustomerService,Account,CustomerService,ProductList,ShoppingCart,Checkout,ProductDetail",3,37,1,0,1,0,,Senior Browser,North America,Organic Search,2.4.7
100013,2/25/23,45,Android,"CustomerService,Search,ProductList,StoreLocator,Notifications,ColorPicker,OrderTracking,Reviews,Search",1,24,1,0,1,0,,Senior Browser,Asia Pacific,Organic Search,2.2.8
100014,9/12/23,50,iOS,"SizeGuide,Checkout,PaymentMethods,CustomerService,ProductList,SizeGuide,Reviews,WishList,AddressBook,SizeGuide,StoreLocator,Search,CategoryBrowse,DeliveryOptions",7,39,1,0,0,0,,Senior Browser,North America,Paid Search,2.2.9
100015,3/22/23,67,Android,"ProductList,ProductList,AddressBook,ProductList,WishList,PaymentMethods,ProductList,WishList,SizeGuide",5,7,1,0,1,1,3/22/23 13:00,Senior Buyer,North America,Paid Search,2.2.7
100016,1/19/23,63,iOS,"Notifications,CategoryBrowse,ProductList,ColorPicker,ProductList,Reviews,ColorPicker,Reviews,Checkout",7,30,1,0,1,1,1/19/23 22:00,Senior Buyer,North America,Paid Search,1.1.3
