user_id,first_visit_date,age,platform,screen_list,session_count,total_screens_viewed,used_search_feature,wrote_review,added_to_wishlist,made_purchase,purchase_date,user_segment,region,acquisition_channel,app_version,timestamp
110799,2022-01-24,42,iOS,"OrderTracking,Search,ReturnPolicy,ProductDetail,Help,PaymentMethods,Checkout,Home,Account,Notifications",6,18,0,0,0,1,2022-01-24 02:00:00,Teen Browser,Europe,Social Media,2.0.5,2025-07-30 20:43:39
110800,2024-06-02,30,iOS,"Checkout,Promotions,Reviews,CategoryBrowse,ShoppingCart,WishList,ReturnPolicy",8,52,0,0,1,1,2024-06-02 12:00:00,Young Buyer,North America,Organic Search,2.2.1,2025-07-30 20:53:17
110801,2024-06-24,32,iOS,"Search,Promotions,PaymentMethods,CategoryBrowse,WishList,ProductDetail,Home",10,91,0,1,1,1,2024-06-24 19:00:00,Teen Browser,Latin America,Organic Search,2.3.1,2025-07-30 20:54:53
110802,2022-10-08,65,Android,"ShoppingCart,ReturnPolicy,Home,OrderTracking,PaymentMethods,Notifications,Search,Checkout",4,33,1,0,1,1,2022-10-08 16:00:00,Senior Buyer,Europe,Referral,2.0.5,2025-07-30 20:56:34
110803,2024-10-18,30,iOS,"Home,Reviews,Notifications,PaymentMethods,ReturnPolicy,Help,ProductDetail",9,46,0,0,1,1,2024-10-18 19:00:00,Senior Browser,Middle East,Paid Search,2.1.0,2025-07-30 20:57:45
110804,2023-02-15,44,Android,"ProductDetail,ShoppingCart,Notifications,ColorPicker,CategoryBrowse,Reviews,Help,OrderTracking,Search,ProductList",7,33,0,0,0,1,2023-02-15 05:00:00,Teen Browser,Europe,Email Campaign,2.2.8,2025-07-30 21:06:37
110805,2022-07-30,22,iOS,"Promotions,Home,Help,ColorPicker,ProductList",10,36,1,1,1,1,2022-07-30 09:00:00,Young Buyer,Middle East,Email Campaign,2.0.8,2025-07-30 21:14:11
110806,2024-06-16,66,Android,"WishList,PaymentMethods,Reviews,Home,Notifications,ProductDetail,ShoppingCart,ColorPicker,OrderTracking",6,51,0,1,1,1,2024-06-16 04:00:00,Senior Buyer,Asia Pacific,Paid Search,2.0.8,2025-07-30 21:22:34
110807,2024-04-12,25,iOS,"WishList,PaymentMethods,ProductList,Notifications,OrderTracking,Search,Checkout,Promotions,ShoppingCart,Account",9,63,1,0,1,1,2024-04-12 09:00:00,Teen Browser,Latin America,Organic Search,2.0.8,2025-07-30 21:25:43
110808,2023-04-04,39,iOS,"Notifications,Search,OrderTracking,ShoppingCart,ProductList,ReturnPolicy,PaymentMethods",8,22,1,0,0,1,2023-04-04 16:00:00,Senior Browser,Latin America,Email Campaign,2.0.8,2025-07-30 21:34:50
110809,2022-03-10,21,Android,"ProductDetail,Checkout,CategoryBrowse,Account,Home,Search,PaymentMethods,Reviews",1,7,0,1,0,1,2022-03-10 02:00:00,Senior Buyer,Asia Pacific,Referral,2.0.8,2025-07-30 21:42:58
110810,2024-02-01,41,Android,"ProductDetail,Reviews,ShoppingCart,OrderTracking,ProductList",9,40,1,1,1,1,2024-02-01 09:00:00,Senior Browser,Asia Pacific,Paid Search,2.0.6,2025-07-30 21:45:21
110811,2024-03-01,39,Android,"CategoryBrowse,Notifications,Home,ColorPicker,ReturnPolicy,ProductDetail,PaymentMethods,ProductList",2,20,0,1,0,1,2024-03-01 08:00:00,Senior Buyer,Latin America,Paid Search,2.0.8,2025-07-30 21:52:15
110812,2022-10-11,31,iOS,"Promotions,WishList,Notifications,ProductList,ColorPicker,Help,CategoryBrowse,Search",5,47,0,1,1,1,2022-10-11 17:00:00,Senior Buyer,Middle East,Email Campaign,2.1.0,2025-07-30 21:54:01
110813,2023-03-09,24,iOS,"Search,Help,Home,Reviews,ProductList",3,8,0,0,0,1,2023-03-09 14:00:00,Young Buyer,Latin America,Email Campaign,2.2.1,2025-07-30 21:59:31
110814,2023-08-28,35,iOS,"Reviews,PaymentMethods,Search,ProductDetail,ProductList,Checkout,ColorPicker,OrderTracking",2,12,1,0,1,1,2023-08-28 08:00:00,Adult Browser,Europe,Social Media,2.3.1,2025-07-30 22:06:48
110815,2022-07-12,72,iOS,"CategoryBrowse,ShoppingCart,Account,ProductList,Search,Help,Checkout",9,41,0,1,0,1,2022-07-12 15:00:00,Teen Browser,Asia Pacific,Social Media,2.0.6,2025-07-30 22:08:21
110816,2022-07-31,18,iOS,"CategoryBrowse,Search,Home,Promotions,ReturnPolicy,ProductList,Notifications,ShoppingCart",4,17,1,0,0,1,2022-07-31 10:00:00,Young Buyer,Europe,Paid Search,2.3.1,2025-07-30 22:12:42
110817,2023-03-23,27,Android,"WishList,Notifications,Help,ShoppingCart,ProductList,Checkout,ColorPicker,Promotions,Home,Search",4,33,0,1,0,1,2023-03-23 05:00:00,Senior Buyer,North America,Organic Search,2.1.0,2025-07-30 22:21:02
110818,2024-07-11,48,Android,"OrderTracking,PaymentMethods,Search,Checkout,Account,Reviews,Home,Notifications,ProductList,Promotions",10,68,1,0,1,1,2024-07-11 01:00:00,Adult Browser,Latin America,Paid Search,2.3.1,2025-07-30 22:25:48
110819,2022-01-28,53,iOS,"PaymentMethods,Reviews,ShoppingCart,CategoryBrowse,Account,Help",5,25,1,0,0,1,2022-01-28 05:00:00,Senior Browser,Asia Pacific,Referral,2.2.1,2025-07-30 22:31:00
110820,2022-07-08,52,iOS,"ProductList,ShoppingCart,ReturnPolicy,ColorPicker,Notifications,PaymentMethods",6,16,0,1,1,1,2022-07-08 15:00:00,Young Buyer,Middle East,Organic Search,2.3.1,2025-07-30 22:32:52
110821,2023-12-22,44,iOS,"ColorPicker,Account,WishList,Checkout,ProductDetail,Notifications,OrderTracking",7,41,0,0,1,1,2023-12-22 04:00:00,Young Buyer,Asia Pacific,Paid Search,2.0.5,2025-07-30 22:39:36
110822,2022-08-31,67,Android,"Account,Notifications,Promotions,Checkout,Home,Search,PaymentMethods,WishList,ProductList",4,6,1,1,1,1,2022-08-31 22:00:00,Young Buyer,Europe,Email Campaign,2.0.6,2025-07-30 22:46:51
110823,2024-08-16,39,iOS,"CategoryBrowse,Checkout,ReturnPolicy,Notifications,Account,Home,Help,Promotions",8,10,0,0,0,1,2024-08-16 14:00:00,Adult Browser,Middle East,Organic Search,2.1.0,2025-07-30 22:56:41
110824,2024-02-10,31,iOS,"Home,Promotions,WishList,ShoppingCart,Checkout,Help",5,24,1,0,1,1,2024-02-10 05:00:00,Senior Browser,Europe,Paid Search,2.0.5,2025-07-30 23:04:33
110825,2023-06-03,37,iOS,"OrderTracking,Reviews,Account,ProductDetail,Checkout",6,57,0,1,0,1,2023-06-03 06:00:00,Senior Buyer,North America,Referral,2.1.0,2025-07-30 23:14:29
110826,2023-07-25,25,Android,"WishList,Search,Home,Help,Notifications,Reviews,PaymentMethods,Account,Promotions",5,45,1,0,0,1,2023-07-25 11:00:00,Senior Browser,Middle East,Organic Search,2.0.8,2025-07-30 23:16:19
110827,2024-03-31,53,Android,"PaymentMethods,ReturnPolicy,Home,Search,Notifications,CategoryBrowse,Checkout",1,7,0,0,1,1,2024-03-31 13:00:00,Young Buyer,Middle East,Social Media,2.2.8,2025-07-30 23:23:26
110828,2022-04-27,22,iOS,"Reviews,CategoryBrowse,Help,Account,Promotions,ProductList,ShoppingCart,ColorPicker",6,13,0,0,0,1,2022-04-27 21:00:00,Senior Browser,Europe,Social Media,2.0.6,2025-07-30 23:29:19
110829,2024-07-19,64,Android,"CategoryBrowse,Account,Promotions,Home,Search,Checkout,Help,ReturnPolicy,PaymentMethods",4,7,1,1,0,1,2024-07-19 07:00:00,Teen Browser,Latin America,Organic Search,2.1.0,2025-07-30 23:36:45
110830,2022-05-27,18,Android,"Checkout,PaymentMethods,Search,CategoryBrowse,Home,ProductList,ColorPicker,OrderTracking,Notifications",2,20,0,1,0,1,2022-05-27 13:00:00,Senior Browser,Latin America,Email Campaign,2.2.1,2025-07-30 23:45:03
